model_id,platform_id,model_family,model_version,model_variants,model_architecture,parameters_count,context_window_size,createdAt,updatedAt,model_type,token_limit,model_size,model_size_unit
model_1,plat_1,GPT,4,"Base, Vision",Transformer,1.76T,8192,2025-03-21T04:28:43.855Z,2025-03-22T20:37:31.418Z,LLM,8192,1760,B
model_1742673815475_781,platform_1742531573928_164,Writesonic AI,1,,Transformer,,,2025-03-22T20:03:35.475Z,2025-03-22T20:37:33.280Z,LLM,,,
model_1742673817773_47,platform_1742531573929_159,Tabnine,1,,Transformer,,8K,2025-03-22T20:03:37.773Z,2025-03-22T20:37:36.707Z,LLM,8192,,
model_1742673820589_585,platform_1742531573930_884,SheetAI App,1,,Transformer,B,8K,2025-03-22T20:03:40.589Z,2025-03-22T20:03:40.589Z,LLM,8192,1,B
model_1742673822707_692,platform_1742531573931_630,RunwayML,1,,,,,2025-03-22T20:03:42.707Z,2025-03-22T20:37:39.757Z,AI Model,,,
model_1742673824756_197,platform_1742531573931_752,Otter.ai,1,,,,,2025-03-22T20:03:44.756Z,2025-03-22T20:37:42.090Z,AI Model,,,
model_1742673826790_706,platform_1742531573932_320,Microsoft Bing Chat,1,Chat,Transformer,,,2025-03-22T20:03:46.790Z,2025-03-22T20:37:44.082Z,LLM,,,
model_1742673829616_285,platform_1742531573933_13,Kuki Chatbot,1,,Unknown,,,2025-03-22T20:03:49.616Z,2025-03-22T20:37:46.055Z,AI Model,,,
model_1742673831627_748,platform_1742531573933_385,Jasper AI,1,,Transformer,,,2025-03-22T20:03:51.627Z,2025-03-22T20:37:48.046Z,LLM,,,
model_1742673833721_218,platform_1742531573934_98,INK for All,1,,Transformer,,,2025-03-22T20:03:53.721Z,2025-03-22T20:37:49.916Z,AI Model,,,
model_1742673838811_254,platform_1742531573935_171,BERT,Base,Uncased,Transformer,110M,512,2025-03-22T20:03:58.811Z,2025-03-22T20:03:58.811Z,LLM,512,110,M
model_1742673838811_468,platform_1742531573935_171,GPT,2,Medium,Transformer,345M,1024,2025-03-22T20:03:58.811Z,2025-03-22T20:03:58.811Z,LLM,1024,345,M
model_1742673838811_796,platform_1742531573935_171,RoBERTa,Base,Uncased,Transformer,125M,512,2025-03-22T20:03:58.811Z,2025-03-22T20:03:58.811Z,LLM,512,125,M
