platform_id,company_id,platform_name,platform_url,platform_category,platform_sub_category,platform_status,api_availability,createdAt,updatedAt
plat_1,comp_1,GPT API,https://openai.com/api,Natural Language Processing,Text Generation,Active,Yes,2025-03-21T04:28:43.855Z,2025-03-21T04:28:43.855Z
platform_1742531573928_164,company_1742531573928_456,Writesonic AI,https://writesonic.com/,,,Active,,2025-03-21T04:32:53.928Z,2025-03-21T04:32:53.928Z
platform_1742531573929_159,company_1742531573929_360,Tabnine,https://www.tabnine.com/,,,Active,,2025-03-21T04:32:53.929Z,2025-03-21T04:32:53.929Z
platform_1742531573930_884,company_1742531573929_927,SheetAI App,https://sheetai.app/,,,Active,,2025-03-21T04:32:53.930Z,2025-03-21T04:32:53.930Z
platform_1742531573931_630,company_1742531573930_102,RunwayML,https://runwayml.com/,,,Active,,2025-03-21T04:32:53.931Z,2025-03-21T04:32:53.931Z
platform_1742531573931_752,company_1742531573931_980,Otter.ai,https://otter.ai/,,,Active,,2025-03-21T04:32:53.931Z,2025-03-21T04:32:53.931Z
platform_1742531573932_320,company_1742531573932_599,Microsoft Bing Chat,https://www.bing.com/chat,,,Active,,2025-03-21T04:32:53.932Z,2025-03-21T04:32:53.932Z
platform_1742531573933_13,company_1742531573933_888,Kuki Chatbot,https://www.kuki.ai/,,,Active,,2025-03-21T04:32:53.933Z,2025-03-21T04:32:53.933Z
platform_1742531573933_385,company_1742531573933_641,Jasper AI,https://www.jasper.ai/,,,Active,,2025-03-21T04:32:53.933Z,2025-03-21T04:32:53.933Z
platform_1742531573934_98,company_1742531573934_743,INK for All,https://inkforall.com/,,,Active,,2025-03-21T04:32:53.934Z,2025-03-21T04:32:53.934Z
platform_1742531573935_171,company_1742531573934_305,Hugging Face Transformers,https://huggingface.co/transformers/,,,Active,,2025-03-21T04:32:53.935Z,2025-03-21T04:32:53.935Z
platform_1742531573935_556,company_1742531573935_5,H2O.ai,https://h2o.ai/,,,Active,,2025-03-21T04:32:53.935Z,2025-03-21T04:32:53.935Z
platform_1742531573936_951,company_1742531573936_909,GPT for Sheets� and Docs�,https://workspace.google.com/marketplace/app/gpt_for_sheets_and_docs/677318054654,,,Active,,2025-03-21T04:32:53.936Z,2025-03-21T04:32:53.936Z
platform_1742531573936_387,company_1742531573936_433,DeepSeek-R1,https://deepseek.ai/,,,Active,,2025-03-21T04:32:53.936Z,2025-03-21T04:32:53.936Z
platform_1742531573937_377,company_1742531573937_45,DeepL Translator,https://www.deepl.com/translator,,,Active,,2025-03-21T04:32:53.937Z,2025-03-21T04:32:53.937Z
platform_1742531573938_759,company_1742531573937_87,CodiumAI,https://www.codium.ai/,,,Active,,2025-03-21T04:32:53.938Z,2025-03-21T04:32:53.938Z
platform_1742531573938_248,company_1742531573938_568,Claude (Anthropic),https://www.anthropic.com/claude,,,Active,,2025-03-21T04:32:53.938Z,2025-03-21T04:32:53.938Z
platform_1742531573939_397,company_1742531573939_273,C3.ai,https://c3.ai/,,,Active,,2025-03-21T04:32:53.939Z,2025-03-21T04:32:53.939Z
